Inventor name,0
Abbott; William,1
Adela; Bedilu et al.,4
Aguire Suso; Goren et al.,1
Al Refae; Badr M.,1
Ananbanchachai; Nenin et al.,1
Austin; Kenneth,1
Avlani; Dipesh et al.,1
Bagheri; Moji,2
Bailey; Kevin,1
Baldwin; Robert Delane,1
Barry; Christopher Robert,1
Benau; Alon et al.,1
Benstead; Stephen John et al.,2
Bibby; Charlie Henry,1
Blackwell; Shane,1
Bottini; Mirko et al.,2
Bourke; Joseph,1
Bowling; Michael et al.,1
Boyle; Norman,3
Bradbury; William Richard et al.,1
Brazil; Declan,1
Bridgeman; Mark et al.,1
Britchford; Douglas et al.,1
Brook-Chrispin; Samantha Claire et al.,1
Buffa; Giovanni et al.,2
Callaway; Trevor,1
Camburn; Bradley et al.,1
Cao; Shi,2
Cariss; Benjamin Joseph et al.,1
Cassagne; Gregory et al.,1
Castellani; Federico,1
"Cavalli, III; Anthony et al.",1
Chandwani; Brijesh et al.,4
Chang; Tse-Wen et al.,2
Chen; Chih-Hung et al.,1
Chen; Daowei,1
Chen; Fu-An et al.,1
Chen; Fu-Sung et al.,1
Chen; Linzhao,7
Chen; Mao-Yi,1
Chen; Min-Chiao et al.,1
Chen; Peter,1
Chen; Sheng,1
Chen; Yen-Chang,1
Chen; Yen-Cheng et al.,1
Chen; Yonghua,1
Cheng; Kuang Hung,2
Chester; Jason,2
Chew; Yui-Liang et al.,1
Chiao; Jerry et al.,20
Chiu; Chin-Huang,1
Chiu; Chin-Huang et al.,1
Chiu; Huan-Chih,2
Cho; Ho-Young,10
Choi; Pilsoon et al.,1
Christie; Douglas D. et al.,1
Chua; Juliana et al.,1
Chuang; Luke et al.,2
Chuang; Yuan-Luen et al.,2
Clarke; Ryan,1
Coetzee; Marcel,1
Colayco; Jose Benjamin,1
Craig; Graham,1
Cui; Qingchen et al.,1
Cui; Wenjun et al.,1
Cui; Yang-Yang et al.,3
D'Aquila; Gaetano,1
Darby; Randall Lynn et al.,1
Davey; Brenton,1
De Blasio; Eugenio,1
Deng; David,5
Dimitroulis; George,2
Ding; Yingqi,1
Donkin; Mark,1
Dou; Chenhao et al.,1
Duan; Jianliang et al.,1
Dutton; Trent,1
Dwarika; Jared,1
Dwarika; Jared et al.,2
Farmer; Toby,3
Farrugia; Nikolaus Alexander,3
Feng; Hua,1
Flannery; Paul,1
Francesca; Masiero,1
Freeman; Jason P.,1
Friend; Rodney,1
Frye; Gregory,2
Ganesh; B. Anbu,1
Gantzer; Paul,1
Gao; Qiang,1
Geng; Chao et al.,1
Ghaleb; Christopher,1
Gherezghiher; Amanuel,1
Giezen; Franciscus Egenius et al.,1
Giles; James,1
Girotra; Kapil,1
Girotto; Adriano et al.,1
Goddemeier; Niklas et al.,1
Grey; Stephen Anthony,1
Gu; Yongru et al.,1
Hamilton; Gregory,2
Han; Zhi et al.,1
Handbury; Stephen,1
Hart; Brendan,2
Harte; David,1
He; Xiangming et al.,21
He; Yuechun,2
Heneveld; Scott,10
Herring; Matthew Steven,1
Hitchins; Salleeanne,1
Ho; Hsuan-Wei,2
Ho; Hsuan-Wei et al.,7
Hong; Sang Uk,1
Horikawa; Yoshio et al.,1
Hou; Po-Chung et al.,1
Hsiao; Chin-Hsun,1
Hsiao; Jen-Hao,1
Hsieh; Henry,1
Hsu; Huan-Pin et al.,1
Hsu; Wei-Min,1
Hu; Yangmin et al.,3
Huang; Chung-Wei et al.,1
Huang; Geming,1
Huang; Jiayin et al.,1
Huang; Yazhou et al.,2
Huang; Yueh-Cheng et al.,2
Hwang; Insoo,1
Inventor name,12
Ishibashi; Kenji et al.,1
Jeon; Wooho,1
Ji; Kiki,4
Jiang; Quanzhong,1
Joe; Tobby,1
Jogan; Yutaka,1
Johns; Garry Patrick,1
Johnson; Dustin,1
Johnson; Marco,2
Kaewkamnerdpong; Boonserm et al.,1
Kalon; Gopinadhan et al.,1
Kan; Yiqun et al.,1
Kang; Woo Yong,1
Kang; Yu-Hsuan et al.,1
Kao; Selvin,2
Kao; Selvin et al.,6
Kapoor; Samridh,5
Kawai; Shuji,2
Keller; Alexander,1
Keskar; Abhijit,3
Keyrouz; Shady et al.,2
Kiellerup; Aaron,1
Kim; Jong Hwan et al.,1
King; Steven,2
Kjallstrom; Jan et al.,3
Ko; Kyung Pyo,1
Koh; Chan Ghee et al.,1
Koroukian; Mikael,1
Krishnan; Balan Gopala et al.,1
Kumar; Ajay,3
Kumar; Ajay et al.,1
Lai; Horng Ji,2
Lam; Bin Wai,1
Laurenson; Callum et al.,1
Le; Minh Son,1
Lee; Chen-Liang et al.,1
Lee; George et al.,2
Lee; Poh Seng et al.,1
Lee; Szu-Ying,4
Leeson; John,1
Levis; Maria,1
Li; Erbo et al.,1
Li; Ge et al.,1
Li; Linfang,1
Li; Wenjie,5
Li; Yongping et al.,2
Li; Yu-Lin et al.,3
Li; Yvonne Chee On et al.,1
Liao; Rui-Ming et al.,2
Liggins; Andrew,1
Lin; Caoping et al.,1
Lin; Chen-Chi,1
Lin; Shou-Lung,1
Lin; Ting-Hao et al.,10
Lin; Yiding et al.,1
Liu; Bo et al.,1
Liu; Chia-Hung,1
Liu; Chunlin et al.,1
Liu; Hongchi et al.,1
Liu; Ruifeng et al.,2
Liu; Xusheng et al.,1
Long; Steven Mark,1
Louh; Yacouba et al.,1
Lowry; Suzanne Lee,3
Lucas; William Richard,1
Luo; Xiaoyang et al.,1
Maekawa; Toru et al.,1
Mamat; Omer Suat,1
Manisier; Howard,1
Manson; Timothy Ray,2
Manusrungsri; Kemtas et al.,2
Mar; Eugene,1
Marissal; Daniel et al.,1
Marshall; Michael,3
Martinez Almansa; Juan et al.,1
Marui; Shinji,15
Marzolla; Luca,1
Mascarenhas; Susanna Valentina et al.,1
Mason; Michael,2
Maxwell; Leigh,1
Meenakshisundaram; Annamalai et al.,1
Mei; Zhiguo,1
Miles; Brad Peter et al.,4
Minato; Tod et al.,1
Morello; Silvio,1
Moubayed; Mohamad et al.,1
Murphy; Ben,2
Mylonas; George,1
Nakamura; Masayoshi,2
Nakamura; Masayoshi et al.,1
Nalini; Luigi,1
Narazaki; Yasuhiro et al.,1
Ng; Kai Man William,1
Nguyen; James et al.,2
Nguyen; John,1
Nguyen; Vincent Hung et al.,1
Ning; Ping et al.,1
Nothnagel; Vaughan,1
O'Sullivan; Ken,1
Ohanesian; Viken,5
Painter; Benjamin,1
Pan; Zhenyu et al.,1
Pap; Paul,1
Park; Min Woo,1
Patsalides; Irene,2
Paul; Immanuel John Samuel et al.,1
Pavic; Boris,1
Peng; Tso-Jen et al.,1
Petersen; Victor,1
Phee; Soo Jay Louis et al.,1
Phongsuwan; Worakorn,2
Pisarnwongs; Roger et al.,4
Plans Casal; David et al.,2
Plans; David et al.,1
Pol; Bernardus Jozef Maria et al.,2
Polanich; Jonathan C.,4
Porterfield; James E. et al.,1
Poulin; Donavan Paul,1
Powell; Jeffrey,1
Promutico; Fabrizio et al.,1
Psaila; Andy,3
Qin; Yanbei,2
Qiu; Enyuan,3
Quintana Arregui; Patxi Xabier et al.,1
Rademakers; Karlijn et al.,1
Ralli; Rohit,1
Randall; Neil,1
Reilly; Brendan et al.,3
Renesto; Dimitry et al.,1
Ridha; Hayder,1
Ring; Mark Bishop,1
Ring; Mark Bishop et al.,1
Ring; Mark et al.,1
Ritchie; Douglas James et al.,1
Roberts; Warren et al.,1
Roddenby; Glenn,1
Roots; Lloyd,1
Roscoe; Cecil Vernon,1
Rosilier; Zach,2
Ruan; Liemin et al.,1
Saban; Clint,1
Saidian; Sasan,1
Salisbury; David,1
Salzbrunn; John,1
Sankarakumara Pillai; Sivaramakrishna Pillai et al.,1
Saterdag; Horst,1
Sato; Takahiko et al.,1
Schiraga; Seton,3
Schmidt; Steve,3
Schmidt; Steven H.,1
Scott; Guy et al.,1
Scott; Terence,2
Seshamani; Varadarajan,1
Shen; Jianli et al.,1
Sherrard; Alex,1
Shieh; Yu-Chang,3
Shimada; Wataru et al.,1
Shimamoto; Matthew,1
Shu; Bin et al.,1
Si; Kuangshu et al.,1
Sinclair; Michael et al.,1
Sites; Lowell Zane,1
Slavazza; Dario et al.,1
Slaybaugh; Russell C. et al.,1
Smith; Jacob,1
Soley; Rick,2
Song; Changyou,2
Song; Tao,1
Speece; Richard E.,1
Srbinovski; Paul et al.,1
Stevenson; Tim Lee,1
Stoutt; Elliott et al.,1
Stroh; Isaac,1
Subramanyam; Sundaresan,3
Sully; Melissa,1
Sung; Tae Hyun et al.,1
Surinphong; Surasak,1
Tait; Simon et al.,1
Takeuchi; Kinji,2
Tam; Cze-Chao,1
Tam; Cze-Chao et al.,1
Tam; Paul,1
Tan; Jie et al.,1
Tan; Xuneng,2
Thaveeprungsriporn; Visit et al.,1
Thiele; Mayne,2
Thomas; Roger et al.,2
Tian; Song et al.,1
Tonkin; Bradley,1
Tsai; Hsien-Yi,1
Tsai; Hsien-Yi et al.,1
Tsai; Kevin et al.,4
Turatti; Antonio,1
Van Dommele; Stefan et al.,1
Vance; Julian et al.,1
Vincenti; Nicholas et al.,1
Voss; Barry et al.,2
Voss; Murray et al.,1
Walker; Peter,1
Wallis; Greg,1
Wang; Chia-Hung,2
Wang; Chia-Hung et al.,1
Wang; Chih-Lun et al.,1
Wang; Desheng,3
Wang; Naishu et al.,7
Wang; Pengfei et al.,1
Warren; Nigel,1
Wei; Wei-Hsin,1
Wei; Wei-Hsin et al.,1
Weisel; Thomas et al.,1
Wells; Neil,1
Whalley; Jessica et al.,1
Whiffin; Sean,1
Wichitamornloet; Arthorn,1
Wichitamornloet; Arthron et al.,1
Wigfield; Jeffrey S.,1
Wilkeson; Shaun,1
Wong; Raphael et al.,1
Wu; Chun-Sheng,1
Wu; Haikun,2
Wu; Hao et al.,3
Wu; Jingdong,7
Wu; Jun et al.,1
Wu; Miaoyu et al.,1
Wu; Qun et al.,1
Wu; Zhiguang et al.,1
Wurman; Peter et al.,1
Xiao; Guopu,1
Xiao; Hang et al.,1
Xie; Pengcheng et al.,1
Xu; Guodu et al.,1
Xu; Na,1
Xu; Yang et al.,1
Yang; Kansheng et al.,1
Yeddala; Kiran et al.,1
Yeh; Chih-Hsien et al.,1
Yoon; Andre S. et al.,2
Yu; Chia-Fang,1
Yu; Liang-Pin et al.,2
Yu; Zhenyu et al.,1
Yuan; Shijian et al.,1
Yun; Xianyu et al.,2
Zeng; Tao et al.,1
Zhang; Bo et al.,1
Zhang; Hailong et al.,1
Zhang; Jie et al.,1
Zhang; Jing,1
Zhang; Jinhui,1
Zhang; Xiao-Di,1
Zhao; Yangyang,1
Zhen; Kunhua,2
Zheng; Yong,1
Zhou; Liqun,1
Zhu; Jianjun,5
Zhu; Yixiang et al.,1
